"id","waterpurifier_name","price","original_price","rating","filtration_capacity"
339,"Aqua Fresh MINERAL FILTER &PURIFIER POT 16 L NON ELECTRIC 16 L Gravity Based + EAT Water Purifier","918","2,999","3.8","MANUFACTURING DEFECT ONLY"
340,"FABER FWP Neutron PRO (RO+UV+COPPER GUARD+PH ENHANCER+MINERAL FILTER) 10 L RO + UV + CU Guard + Alkali...","10,300","20,490","3.9","12 months Warranty on Product. It includes manufacturing defects but excludes physical damage. Technician Visit"
341,"LG Puricare WW140NPR with Stainless Steel Tank 8 L RO Water Purifier","15,299","20,999","4.2","1 year on product and 10 years on stainless steel tank from Manufacturer"
342,"proven Water Purifier with Copper Charge Technology black & copper(Made In India) 12 L RO + UV + UF + ...","5,499","19,990","4.2","Filtration Capacity: 12 L/hr"
343,"Grand plus UV UF TDS CONTROLLER WITH 14 STAGE 17 L  Water Purifier 17 L RO + UV + UF + TDS Water Purif...","3,799","16,500","3.8",NULL
344,"LG  Mineral Booster Filter Change Indicator Dual Protection Stainless Steel Tank 8 L RO Water Purifier","21,999",NULL,"4.3","Filtration Capacity: 10 L/hr"
345,"Aquaguard NEO UV+UF+MC 7.2 L UV + UF + Alkaline Water Purifier","9,800","15,000","3.1","COMPREHENSIVE"
346,"Aquaguard Mist NXT + inline suitable for municipal water (TDS up to 200 PPM) UV Water Purifier","6,990","14,000","3.6","1 Year Domestic Warranty"
347,"Prestige Tattva 2.0 16 L Gravity Based Water Purifier","3,999","4,495","3.8","Filtration Capacity: 1500 L"
348,"AQUA AQ- aquagand best water purifier RO. UV. UF. TDS. MINIRALS. 12ltrs tank. abs plastik. pree filter...","3,819","12,900","3.6","Filtration Capacity: 15 L/hr"
349,"SHAPURE Aqua 2090 RO Water Purifier | Modern & Invisible Screw | 7 Stage NEXT Technology 10 L RO + UV ...","5,699","19,999","3.7","Filtration Capacity: 20 L/hr"
350,"Aquaguard CLASSIC AG 200  6000 L UV Water Purifier","14,750","16,500","2.3","COMPREHENSIVE"
351,"Kinsco Aqua Flame Copper Charge Ro 15 L RO + UV + UF + Copper + TDS Control Water Purifier","4,399","20,000","4.4","1 Year Warranty on Electrical items"
352,"Aqua Fresh MINERAL POT MUNICIPAL WATER NO TASTE CHANGE NON ELECTRIC 16 L Gravity Based Water Purifier","918","2,999","3.7","ONE YEAR OFFSITE WARRANTY"
353,"Aqua Fresh Crystal WH LED+COPPER+RO+UV+TDS 12 L electric borewell water purifier 12 L RO + UV + Copper...","5,497","15,999","3.9","Filtration Capacity: 12 L/hr"
354,"AQUA Black Crux Copper Model 12 L RO + UV + UF + Copper + TDS Control Water Purifier","3,984","14,500","4.3","Filtration Capacity: 12 L/hr"
355,"Marchio Aqua Grand Plus Copper water Purifier 12 L RO + UV + TDS Water Purifier","4,299","19,500","4.3","Filtration Capacity: 12 L/hr"
356,"Aquagrand AQUA2090 | NEXT Technology |Multiple Purification System | Smart LED 10 L RO + UV + UF + TDS...","5,119","14,500",NULL,"Filtration Capacity: 10 L/hr"
357,"AQUA Candy Red Model RO+UV+UF+TDS+Copper Filter 15 L RO + UV + UF + TDS Water Purifier","3,931","14,500","4.6","Filtration Capacity: 15 L/hr"
358,"BePURE 4G Hot and Cold 9 L RO + UV + UF + TDS Water Purifier with Hot and Cold Features","12,599","24,999","4.1","Filtration Capacity: 15 L/hr"
359,"Aquaguard Eden Reverse Osmosis (RO) and Ultraviolet (UV) With MTDS Technology & SS Tank 5.2 L RO + UV ...","21,990","38,500","4.8","1 Years Manufacturer Warranty"
360,"Aquatec Plus Smart Pure - Under Sink Storage pressure tank 12 L RO + UV + UF + TDS Water Purifier","10,399","24,999","5","Filtration Capacity: 15 L/hr"
361,"LIVPURE LIV-ZINGER-HOT-HR 6.5 L RO + UV + UF + Minerals + Copper Water Purifier","22,599","31,990","4.1","Filtration Capacity: 15 L/hr"
362,"proven Alkaline + ORP with Active Copper 12 L RO + UV + UF + Copper + TDS Control Water Purifier","5,249","16,990","4.2","One year warranty for electrical parts"
363,"AquaActive WaterSaverROUVPHCUZN 10 L Mineral RO + UV + MF + MP Water Purifier","8,483","32,490","3.8","Filtration Capacity: 16 L/hr"
364,"Remino 10 Inch 5 Micron Heavy Spun Pre Filter(PP) Water Purifier Filter Housing for 12 L RO Water Puri...","399","999","4","Please Insure Proper Installation For Long Product Life for more information related service kit please contact us 9752883757"
365,"AquaDpure Active Alkaline & Zinc water purifier,8 stages purification 12 L RO + UV + UF + Minerals + C...","4,949","24,999","4","Filtration Capacity: 12 L/hr"
366,"KENT GOLD+(11015) 20 L Gravity Based + UF Water Purifier","2,899","3,300","3.9","Not Applicable"
367,"Aqua Higen IQUBE - Instant Hot + Cold + Mineral Rich Alkaline Water 9 L RO + UV + UF + Copper Guard + ...","19,125","22,500",NULL,"Filtration Capacity: 15 L/hr"
368,"Always Steelguard RO with Stainless Steel Tank with LED display and Pre filter 9 stage 7 L RO + UV + M...","7,109","24,999","4.2","Filtration Capacity: 15 L/hr"
369,"KENT EXCELL+ 15 LITRES UNDER THE COUNTER RO + UV/UF+TDS CONTROLLER (WHITE) 15-LTR/HR WATER PURIFIER 15...","16,849","19,500",NULL,"Filtration Capacity: 15 L/hr"
370,"Aqua Fresh AQUA BIZ BLACK TPT 10 L RO + UV + UF + Copper + TDS Control Water Purifier with Prefilter","3,899","16,500","3.8","Filtration Capacity: 10 L/hr"
371,"KENT 200062 4000 L Gravity Based + UF Water Purifier","608","670",NULL,"Filtration Capacity: 20 L/hr"
372,"NILE SUNRISE RO WATER PURIFIRE 10 L RO + UV + UF + TDS + Mineral Water Purifier","8,000","16,999",NULL,"AS PER LOCAL TECNICION"
373,"Ferrum Ultra Pure Water Filter Stainless Steel with American Engineered Ultrafilters 20 L Gravity Base...","1,700","3,200","3.7","Filtration Capacity: 6 L/hr"
374,"Aquagrand Skyland Model With TDS controller 18 L RO + UV + UF + Minerals Water Purifier","3,939","14,500","4.4","Filtration Capacity: 18 L/hr"
375,"HAVELLS Pro 7 L RO + UV Water Purifier 7 Stages, Patented Corner/wall mounting","13,990","15,999","4.1","1 Year Warranty"
376,"AquaDpure RO Water Purifier with Bio Copper Zinc Alkaline Technology 12 L RO + UV + UF + TDS + ALK + C...","4,849","18,999",NULL,"Filtration Capacity: 12 L/hr"
377,"NILE aqua 2090 10 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water Purifier","7,899","14,500",NULL,"SERVICE WARRANTY"
378,"AquaDpure Bio-Alkaline Water Purifier with Pre Filter & Aqua Copper Infuser Technology 12 L RO + UV + ...","4,949","24,999","4","Filtration Capacity: 12 L/hr"
379,"Grand plus AQUA JIO 10 L RO + UV + UF + TDS Water Purifier","3,799","16,500","3.5",NULL
380,"LIVPURE Zinger Copper 6.5 L RO + UV + UF + Minerals + Copper Water Purifier 70% Water Recovery","16,690","20,990","4","1 Year Warranty"
381,"Always Gravity Based Ultra Filtration Water Purifier Spare Parts Spun+ UF memb 15 L Gravity Based + UF...","499","999","3.9","Filtration Capacity: 7 L/hr"
382,"MarQ by Flipkart Glam Edition India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + UF + TDS + A...","5,499","16,500","3.9","Filtration Capacity: 8 L/hr"
383,"Tata Swach 5865563563 3 L Gravity Based + EAT Water Purifier","2,999","3,999",NULL,"NA"
384,"NILE Merlin - Fully Automatic Water Purifier with LED Indicator 15 L RO + UV + UF + TDS + ALK + Copper...","16,899","50,000",NULL,"Full Cover"
385,"Tata Swach S33 30 L Gravity Based Water Purifier","4,499","4,999",NULL,"1 Year"
386,"Blue Star Eleanor 8 L RO + UV + UF Water Purifier","10,999","22,900","4.2","Filtration Capacity: 12 L/hr"
387,"AQUA grand Epic Model 12 Ltr RO+UV+UF+TDS Controller 12 L RO + UV + UF + TDS Water Purifier","3,829","14,500","3.9","Filtration Capacity: 15 L/hr"
388,"MarQ by Flipkart Titanium Golden India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + UF + TDS ...","5,499","16,500","3.9","Filtration Capacity: 8 L/hr"
389,"Dr Aquastar Aqua Grand RO UV UF with Active Copper and inbuilt tds controller 12 L RO + UF + UV + UV_L...","3,899","18,999","4.2","Filtration Capacity: 12 L/hr"
390,"Tata Swach 75 8 L Gravity Based Water Purifier","2,700","5,000",NULL,"6 month"
391,"Sastaacha Aqua Ro Only Cabinet Body ABS Food Grade Quality 12 L RO + UV + UF + Minerals + Alkaline Wat...","1,499","2,199",NULL,"NO"
392,"KENT Black Crystal Star-B 11 L RO + UV + UF + TDS Water Purifier","20,790","24,500","4.8","Filtration Capacity: 20 L/hr"
393,"Prestige Tattva 1.0 SS 16 L Gravity Based + EAT Water Purifier","3,000","3,995","3.9","1 Year Warranty"
394,"MarQ by Flipkart BePure Aqua 16 L Gravity Based + UF Water Purifier","975","2,999","3.5","NA"
395,"HAVELLS Fab  Storage 7 L UV Water Purifier Suitable only for Municipality Water Supply","8,490","13,199","3.5","1 Year Warranty"
396,"V-Guard Rejive 5 L UV + UF + MIN + Cu + SS Water Purifier Copper, with Stainless Steel Storage Tank","10,199","14,999","3.7","Filtration Capacity: 30 L/hr"
397,"Aquaguard PREMIER Active Copper With Zinc Booster Technology 6.2 L RO + UV + TA Water Purifier","17,500","23,500","3.7","1 Year"
398,"konvio neer Steel Gravity filter Non Electric Stainless 18 L Gravity Based Water Purifier","2,249","3,999","3.7","Filtration Capacity: 3 L/hr"
399,"Aquaguard CHAMP RO+UV 6 L RO + UV Water Purifier","8,940","9,499","4.1","1 year comprehensive domestive warranty"
400,"Always Gravity Water Purifier|with Active COPPER & ZINC Booster | Non-Electric 15 L Gravity Based Wate...","2,499",NULL,"4.1","Filtration Capacity: 15 L/hr"
401,"Always Gravity based Water mineral Filter And Purifier +3 extra Dust Candles 15 L Gravity Based Water ...","1,799","2,500","4.1","Filtration Capacity: 20 L/hr"
402,"AQUA Golden Black Audi Purify 15 L RO + UV + UF + TDS Water Purifier","3,679","14,500","3.9","Filtration Capacity: 15 L/hr"
403,"AQUA NINE LED Display Model 12 L RO + UV + UF + TDS Water Purifier","4,749","14,500","3.8","Filtration Capacity: 12 L/hr"
404,"NILE P&A WATER PURIFIRE 10 L UV + UF + Alkaline Water Purifier","6,599","18,000",NULL,"service"
405,"R.K. AQUA FRESH INDIA GT-02 8Ltrs Alkaline Enriched 8 L RO + UV + UF + TDS + Alkaline Water Purifier","5,099","15,999","3.3","One Year Warranty On All Electronic parts Except Uv Lamp For Every Visit Customer Need To Pay 350rs Directly to technician"
406,"AQUA Grand Copper Water Purifier 12 L RO + UV + UF + Minerals + Copper Water Purifier","3,949","12,999",NULL,"Filtration Capacity: 20 L/hr"
407,"KENT Elegant Alkaline 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","15,399","19,500","4.4","Filtration Capacity: 15 L/hr"
408,"V-Guard Requpro High Recovery RO with Stainless Steel Tank, 3X Water Saving & Alkaline 5.5 L RO + UV +...","16,999","31,699","4.3","Filtration Capacity: 20 L/hr"
409,"AQUA Pearl Copper Water Purifier 12 L RO + UV + TDS Water Purifier","5,999","17,999",NULL,"Filtration Capacity: 20 L/hr"
410,"E.F.M Swift Water Purifier Regular Domestic RO System 16 L RO + UV + UF + TDS Water Purifier","4,199","9,000","3.9","Filtration Capacity: 16 L/hr"
411,"AO Smith PRO PLANET P6 10 L RO + SCMT Water Purifier","25,490","31,100","4.3","ALL PARTS"
412,"LG WW182EP 8 L RO + UV + UF Water Purifier Dual Protection Airtight Stainless Steel Tank, Mineral Boos...","33,999",NULL,"4.5","Filtration Capacity: 10 L/hr"
413,"Grand plus Qube ultra smart Led Display 8 L RO + UV + UF + Copper + TDS Control Water Purifier with Pr...","3,799","16,500","3.7","Filtration Capacity: 6 L/hr"
414,"AO Smith PRO PLANET-P6 9 L RO + SCMT Water Purifier","25,499","31,100","4.5","1 Year manufacturer warranty"
415,"HAVELLS Digitouch Alkaline 6 L RO + UV + UF + TDS Water Purifier 8 Stages, Smart touch dispensing, Dou...","12,998","25,499","3.4","Filtration Capacity: 15 L/hr"
416,"AQUA MARS 9 L RO + UV + UF Water Purifier","4,888","13,999","3.7","6"
417,"aqua gear Choosing the Right Water Purifier for Your Health and Home 20 L RO + UV + UF + Copper + TDS ...","4,499","19,999",NULL,"Filtration Capacity: 5000 L/hr"
418,"V-Guard REJIVE RO+UV+MIN+ALK (SS) 5 L RO + UV + MIN + ALK + SS Water Purifier Minerals, Alkaline, with...","12,999","23,049","4.3","Filtration Capacity: 15 L/hr"
419,"Aqua Active RO+UV+Mineral+B12+PH+TDS Controller 10L 10 L RO + UV + UF + TDS Water Purifier","8,099","28,000","4.1","Filtration Capacity: 16 L/hr"
420,"AquaDpure 100 LPH Commercial RO + UV Water Purifier System/Plant 100 Liter Per hour Stainless Steel Fu...","16,950","56,899","4","Filtration Capacity: 100 L/hr"
421,"Aquaguard RO+UV+UF+MTDS with Alkaline Technology 6.2 L RO + UV + MTDS + Alkaline Water Purifier","16,498","19,165","4.4","BRAND WARRANTY"
422,"Eureka Forbes Aquasure from Aquaguard Shield 6 L RO + UV + UF + MP + MTDS Water Purifier Suitable for ...","18,000","19,000","4.1","Filtration Capacity: 15 L/hr"
423,"Pureit COPPER+ ECO 8 L RO + UV + MF + Minerals Water Purifier","23,989","32,699","4.3","1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit"
424,"Noir Aqua ESVY Premium RO Water Purifier For Home with B12 Alkaline Filter + Pre Filter 9 L RO + UV + ...","5,799","12,999","4","Filtration Capacity: 18 L/hr"
425,"Grand plus SMOKE TPT SWIFT 14 L RO + UV + UF + TDS + ALK + Copper Water Purifier","3,999","16,500","4.2","Filtration Capacity: 14 L/hr"
426,"KONVIO Neer Swift Orange Budget Water Purifier 13 L RO + UV + UF + TDS Water Purifier","5,499","19,999","3.4","Filtration Capacity: 13 L/hr"
427,"MarQ by Flipkart ESC GOLDEN BLACK SMART AUDI NEXT 14 L RO + UV + UF + TDS + ALK + Copper Water Purifie...","4,199","16,500","4.1","Filtration Capacity: 12 L/hr"
428,"Aquaguard Superio UV+UF+SS 304 Tank 5 L UV + UF + SS Water Purifier","12,999","21,000","2.5","1 Years Manufacturer Warranty"
429,"DPW SWIFT RO +UV+UF+TDS+ALKALINE RO WATER PURIFIER 15 L RO + UV + UF + Alkaline Water Purifier","4,199","14,998","5","2 years warranty for electrical parts (Pump"
430,"HAVELLS UV Plus 7 L UV + UF Water Purifier 5 Stages with storage tank, revitalizer with Smart Alerts a...","9,449","12,699","3.8","1 Year Warranty"
431,"R.K. AQUA FRESH INDIA Sensible-06Ltrs Alkaline Enriched 6 L RO + UV + Minerals + Alkaline Water Purifi...","5,099","15,999",NULL,"One Year Warranty On all Electronic Parts Except Uv Lamp For Every Visit Customer Have to pay 350Rs Directly to Technician"
432,"SUPER AQUAFRESH FUSION BLACK COPPER+RO+UV+TDS AUTOMATIC ELECTRICAL BOREWELL BEST WATER PURIFIER 12 L R...","4,100","6,999",NULL,"Filtration Capacity: 12 L/hr"
433,"fedula 15 L Mineral Pot Water Purifier | Non Electric Water Purifier 15 L Gravity Based + UF Water Pur...","1,155","2,800","2.8","Filtration Capacity: 20 L/hr"
434,"hul purite classic23 liter 23 L Gravity Based Water Purifier","2,500","2,900",NULL,"1 year"
435,"Aqua Fresh CRYSTAL BLACK+ LED COPPER+RO+UV+TDS 12 L electric borewell water purifier 12 L RO + UV + Co...","3,999","16,999","3.6","Filtration Capacity: 12 L/hr"
436,"Grand plus Banza without LED Black 12 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water Purifie...","3,799","16,500","3.8","1 Year Manufacturer Domestic Warranty on MOTOR and SMPS only & Service/Visit charges applicable"
437,"LIVPURE GLITZ SILVER 7 L RO + UF Water Purifier","10,746","12,490","3.9","I Year Manufacturer Warranty"
438,"Aqua Fresh Titanium Grey 2 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + ...","6,299","16,500","4","Filtration Capacity: 15 L/hr"
439,"Tata Swach 45 100 L Gravity Based + EAT Water Purifier","2,500","3,000",NULL,"1 year"
440,"water solution Aqua Mars RO Water Purifier Stock 9L / Capacity Per hr 15 L RO + UV + CU Guard + Alkali...","8,200","15,000",NULL,"Filtration Capacity: 15 L/hr"
441,"V-Guard Requpro UV+UF+Minerals with Stainless Steel Tank 5.5 L UV + UF Water Purifier","10,699","18,399","3.6","Filtration Capacity: 30 L/hr"
442,"Aquaguard regal ro+uv+mtds+alkaline 7 L RO + UV + MTDS + Alkaline Water Purifier","16,400","21,500","3.9","COMPREHNSIVE"
443,"AquaDart 25LPH  25 L RO Water Purifier","5,459","29,999","4","Filtration Capacity: 25 L/hr"
444,"AquaDpure RO+UV Water Purifier with Aqua Copper Infuser Technology 12 L RO + UV + UF + Copper + TDS Co...","4,999","24,999","4.2","Filtration Capacity: 12 L/hr"
445,"Aqua Fresh Black Strom Ciaz 12 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water Purifier","3,799","16,500","3.6","1 Year Manufacturer Domestic Warranty on MOTOR and SMPS only & Service/Visit charges applicable"
446,"Blair ALFA ALKALINE 12 L RO + UV + UF + TDS Water Purifier","4,628","19,990",NULL,"Filtration Capacity: 15 L/hr"
447,"Aquaguard Copper Superio 5 L UV + UF + MIN + Cu + SS Water Purifier","12,490","21,000","3.4","1 Year Comprehensive Domestic Warranty"
448,"Kinsco Aqua water filter 6 stage 15 liter  15 L RO + UV + UF + TDS Water Purifier with Prefilter","4,599","20,000","4.2","Filtration Capacity: 15 L/hr"
449,"AO Smith Z8 10 L RO Water Purifier","25,500",NULL,"5","1 Year Comprehensive Warranty & 1 Year RO Membrane Warranty if TDS is < 2000 ppm Hardness is < 400 ppm"
450,"AquaDpure Zinc RO Water Purifier with Bio Copper and Alkaline Fiter 12 L RO + UV + UF + TDS + Alkaline...","4,949","24,999","4.3","Filtration Capacity: 12 L/hr"
451,"Aqua Ultra Reeva RO+B12 Technology Water Purifier 10 L RO + MF Water Purifier","4,199","14,500","3.6","Filtration Capacity: 15 L/hr"
452,"Pureit CLASSIC RO+MF 7 L RO + MF Water Purifier","8,190","10,799","4.4","NA"
453,"Home-pro Stainless Steel Water Filter | Non Electric | Long Ceramic Candle 1 | 16 L Gravity Based Wate...","1,300","2,938","3.6","Filtration Capacity: 1 L/hr"
454,"AquaActive Hot Normal Cold Water Purifier RO+UV Mineral Water Purifier +TDS Controller, 10 L RO + UV +...","12,044","33,000","4.3","Filtration Capacity: 12 L/hr"
455,"AQUA AQUAMABLACK 10 L RO Water Purifier","5,999","18,999",NULL,"Filtration Capacity: 12000 L/hr"
456,"AQUA Epic Model 12 Ltr RO+UV+UF+TDS Controller 12 L RO + UV + UF + TDS Water Purifier","3,999","14,500","4","Filtration Capacity: 12 L/hr"
457,"Maxpure MOD2021UP 12 L RO + UF + UV + UV_LED + TDS Control Water Purifier","3,780","12,999",NULL,"1 YEAR"
458,"Aquagrand Skyland 1 Year Warranty| Multi Stage purification Technology | 18 L RO + UV + UF + TDS Water...","3,799","14,500","4.1","Filtration Capacity: 18 L/hr"
459,"KENT PEARL ZWW MINERAL RO-11098 RO+UV+UF+TDS CONTROLLER (BLUE&WHITE) 20 LTR /HR 8 L RO + UV + UF + TDS...","16,999","20,500","4.3","Filtration Capacity: 18 L/hr"
460,"Aquaguard Copper Superio 5 L RO + UV + MTDS + SS Water Purifier","18,200","24,500",NULL,"1 Year Comprehensive Domestic Warranty"
461,"Tata Swach BM-LOK-254 14 L Gravity Based Water Purifier","1,599","1,699",NULL,"1"
462,"HAVELLS Max 7 L RO + UV Water Purifier 8 Stages, Patented Corner/wall mounting","14,990","18,899","4.2","1 Year Warranty"
463,"AquaDart 100 LPH Commercial UV Protection RO Water Purifier Plant Stainless Steel With TDS Adjuster + ...","16,009","36,999","3.8","Filtration Capacity: 100 L/hr"
464,"FABER FWP XUV 8000 (UV+UF+ Alkaline) 7 L UV + UF + Alkaline Water Purifier Suitable only for Municipal...","6,350","14,990","3.5","1 Year Comprehensive"
954,"MarQ by Flipkart Glam Edit White India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + UF + TDS ...","5,499","16,500","3.9","Filtration Capacity: 8 L/hr"
465,"LIVPURE LIV-PEP-PRO-GRAND-COPPER 7 L RO + UV + Mineraliser Water Purifier","13,549","16,490","4.1","The product is warranted against any manufacturing defects arising out of any faulty or defective material on workmanship for a period of 12 months from the date of final invoice to customer commitment shall be applicable."
466,"KENT grand plus uv in tank 9 L RO + UV + UF + TDS Water Purifier","18,900","23,500","4.1","1 Year Warranty + 3 Years free service"
467,"AquaActive MistyROPHUVALKBlack 10 L RO + UV Water Purifier","8,100","25,900","4","Filtration Capacity: 14 L/hr"
468,"AQUA JADE 10 L RO + UV + Alkaline Water Purifier","5,299","14,999","3.6","Filtration Capacity: 18 L/hr"
469,"Kinsco Aqua Style 15 L RO + UV + UF + TDS Water Purifier with Prefilter","5,689","20,000","3.3","Filtration Capacity: 15 L/hr"
470,"Aqua Fresh NYC white 12 L RO + UV + UF Water Purifier","4,549","9,999","3.5","TERMS AND CONDITION 1) Installation provided by seller charges Paid by customer RS450/- NCR Around 50 KM. "
471,"Marchio Aqua Grand Plus Copper water Purifier 12 L RO + UF + UV + UV_LED + TDS Control Water Purifier","4,899","18,999",NULL,"Filtration Capacity: 12 L/hr"
472,"Aquagrand UNIQUE SAGE Model Advance Technology With SMART LED and COPPER FILTER 12 L RO + UV + UF + Co...","3,999","15,000",NULL,"Filtration Capacity: 12 L/hr"
473,"PureOne AQUA 2090 10 L RO + Copper Water Purifier","6,470","12,999","3.6","Filtration Capacity: 15 L/hr"
474,"Kaveri Skyland 18 L RO + UV + UF + TDS Water Purifier","4,084","14,500",NULL,"Filtration Capacity: 18 L/hr"
475,"AquaDpure 50 LPH commercial RO + UV water purifier Plant 50 Liter Per Hour Blue Stainless steel Full A...","11,999","36,999","3.7","Filtration Capacity: 50 L/hr"
476,"Aqua Flow Enterprises ALFA Ultra Smart (MIneral) 12 L RO + UV + UF + TDS Control + UV in Tank Water Pu...","4,999","14,999","3.6","Filtration Capacity: 15 L/hr"
477,"Aqua Health India PP 10 L UF Water Purifier","150","800",NULL,"No Physical damage"
478,"Rama Gravity Water Filter 17L Storage with 2 Spirit Candles and Plastic Tap 17 L Gravity Based Water P...","4,975","7,599","3.7","Warranty covers only water filter. Not applicable for accessories"
479,"Kaveri AquaFresh Full Transparent BLUE Storm Model 12 L RO + UV + UF + TDS Water Purifier","4,145","17,000",NULL,"Filtration Capacity: 12 L/hr"
480,"Karofi L56 14 L RO Water Purifier","37,959","59,999",NULL,"1 Year Warranty on Product and 5 Years Service on Product from Karofi"
481,"Always AQUA SWIFT COPPER ZINC ALKALINE WITH PREFILTER 15 L RO + UV + UF + Copper + TDS Control Water P...","3,749","13,500",NULL,"1 Year offsite warranty on all   electronic parts"
482,"Aquaguard Enhance NXT Ultraviolet (uv+) With Active Copper Zinc Booster Technology UV Water Purifier","9,999","12,400","3.8","1 year"
483,"LG WW174NPC 8 L RO + UV + MB Water Purifier","29,499",NULL,"4.8","Filtration Capacity: 10 L/hr"
484,"Sure from Aquaguard A-Star UV Water Purifier","5,999","10,000",NULL,"Filtration Capacity: 120 L/hr"
485,"AQUA NINE LED Model 12 L RO + UV + UF + TDS Water Purifier","4,998","17,500","4","Filtration Capacity: 12 L/hr"
486,"KONVIO Advance Water Purifier High TDS 3000 Membrane Japanese UV (Blue, ABS Plastic) 12 L RO + UV Wate...","6,499","19,999","3.8","Filtration Capacity: 12 L/hr"
487,"Kaveri Skyland Copper 18 L RO + UV + UF + TDS + Copper Water Purifier","4,179","16,600","4.3","Filtration Capacity: 18 L/hr"
488,"Purosis Pure aqua 9 L RO + UV + Alkaline Water Purifier","8,000","20,000","3.9","Filtration Capacity: 7000 L/hr"
489,"Aquagrand Audi Alkaline Filter Technology Purification | 12 L RO + UV + UF + TDS + Alkaline Water Puri...","3,799","17,500","3.9","Filtration Capacity: 12 L/hr"
490,"Aquaguard Astor Alkaline 6.2 L RO + UV + MTDS Water Purifier","15,600","22,990","4.1","1 Year Comprehensive Domestic Warranty"
491,"KENT Pearl ZW 8 L RO + UV + UF + TDS Water Purifier","17,880","20,500","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
492,"Aqua Fresh MINERAL POT UF FILTER NON ELECTRIC (NO TASTE CHANGE) WATER PURIFIER 16 L Gravity Based Wate...","1,001","2,999","3.5","OFFSITE WARRANTY ON MANUFACTURING DEFECT."
493,"Tata Swach 48701 12 L UF Water Purifier","2,799","3,000",NULL,"2 year"
494,"AquaDpure 25 LPH commercial RO water purifier Plant 25 Liter Per Hour Blue Stainless steel Full Automa...","6,686","21,999","4.6","12 Months offsite warranty on all electronic parts"
495,"AQUA Epic Model RO+UV+UF+TDS+Copper Filter 12 L RO + UV + UF + TDS Water Purifier","3,803","14,500","3.3","Filtration Capacity: 15 L/hr"
496,"Apeiron Stainless Steel 18 LTR Ceramic Water Purifier 18 L Gravity Based Water Purifier","1,998","1,999",NULL,"NA"
497,"water solution AQUASOFT SHINE 12 L RO + UV + UF + Minerals Water Purifier","12,500","15,900",NULL,"warranty is applicable on manufacturer/comprehensive warranty on 12 months on motor"
498,"FINPURE FinpureM 9 L RO + UV + UF + Minerals Water Purifier","14,999","24,999",NULL,"Filtration Capacity: 2 L/hr"
499,"FINPURE Purosis 9 L RO + UF + Minerals + Alkaline Water Purifier","11,899","24,999",NULL,"Filtration Capacity: 18 L/hr"
500,"AQUA TRENDY & CLASSIC DESIGN AQUA9090 Model With Smart LED Display 13 L RO + UV + UF + TDS Water Purif...","5,199","15,000",NULL,"Filtration Capacity: 13 L/hr"
501,"Apeiron Water Purifier With Ceramic Candle 24 L Gravity Based Water Purifier","1,479","2,285","3.6","NA"
502,"Aquafresh AURA Mineral+ro+uv+uf+tds Electrical ground water purifier15 L 15 L RO + UV + UF + TDS Water...","3,999","12,999","3.5","Filtration Capacity: 12 L/hr"
503,"Tata Swach 560 12 L UF Water Purifier","3,500","4,000",NULL,"1"
504,"Aqua Ace 5 STAGE WATER PURIFIER 35 L UV Water Purifier","1,969","5,999","3.8","1 Year Warranty On All Electric Parts I.e Booster Pump & SMPS "
505,"aquadeal 14 STAGE 15 L RO + UV + UF + TDS Water Purifier","4,699","15,999","4.3","Filtration Capacity: 15 L/hr"
506,"aquadeal 4G Hot & Cold , Normal RO UV UF TDS Water Purifier 9 L RO + UV + UF + TDS Water Purifier","13,500","24,990","4.2","Filtration Capacity: 18 L/hr"
507,"Purosis AQUAPURO 9 L RO + UV + UF + Alkaline Water Purifier","10,990","19,990",NULL,"Filtration Capacity: 9000 L/hr"
508,"LG WW140NPR 8 L RO Water Purifier","18,299","29,110","4.3","1 Year Warranty"
509,"V-Guard Rejive 6.5 L UV + UF Water Purifier","7,799","13,349","3.7","Filtration Capacity: 30 L/hr"
510,"Apeiron Water Purifier With Ceramic Candle 30 L Gravity Based Water Purifier","2,499","2,999","3.7","NA"
511,"AQUA Red swift Model suitable for borewell, tanker, municipal water with 12 L RO + UV + UF + Minerals ...","4,138","14,500",NULL,"Filtration Capacity: 12 L/hr"
512,"Blair AQUA GLORY RO UV UF TDS 14 L RO + UV + UF + TDS Water Purifier","4,434","17,590","3.9","Filtration Capacity: 15 L/hr"
513,"Always AQUA DOLPHIN Without RO 10 L UV + UF + Minerals + Copper Water Purifier","2,249","11,000","3.3",NULL
514,"Aquaguard Eden +UV+MTDS+SS 31 L RO Water Purifier","23,500","47,500",NULL,"NA"
